idx,category,complexity,emotion,confidence,intensity,memories,systems,total_ms,from_cache,mode
1,warm_up,low,neutre,0.400,0.650,2,,1.10,False,core_only
2,warm_up,low,curiosité,0.500,0.300,2,,0.75,False,core_only
3,warm_up,low,neutre,0.400,0.650,2,,0.87,False,core_only
4,science,medium,neutre,0.400,0.650,2,proactive_curiosity|meta_cognition,0.87,False,core_only
5,science,medium,curiosité,0.500,0.300,2,proactive_curiosity|meta_cognition,1.01,False,core_only
6,science,high,curiosité,0.500,0.300,2,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,1.69,False,core_only
7,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,1.43,False,core_only
8,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,1.32,False,core_only
9,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,2.09,False,core_only
10,emotional,medium,tristesse,0.500,0.300,2,emotional_journal|contextual_empathy,26.63,False,core_only
11,emotional,low,joie,0.700,0.850,2,emotional_journal|contextual_empathy,1.19,False,core_only
12,emotional,medium,peur,0.500,0.300,2,emotional_journal|contextual_empathy,0.98,False,core_only
13,emotional,medium,amour,0.500,1.000,2,emotional_journal|contextual_empathy,1.38,False,core_only
14,daily_life,low,neutre,0.400,0.650,2,,1.50,False,core_only
15,daily_life,medium,curiosité,0.500,0.300,2,,2.57,False,core_only
16,creativity,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,3.61,False,core_only
17,creativity,medium,neutre,0.400,0.650,2,imagination_engine|creative_memory,2.61,False,core_only
18,memory,medium,neutre,0.400,0.650,2,narrative_memory|emotional_memory_mgr,3.21,False,core_only
19,memory,medium,neutre,0.400,0.650,2,narrative_memory|emotional_memory_mgr,3.88,False,core_only
20,meta,high,curiosité,0.500,0.300,2,meta_cognition|proactive_curiosity,21.66,False,core_only
21,meta,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,1.32,False,core_only
22,complex,extreme,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,2.94,False,core_only
23,science,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,3.44,False,core_only
24,science,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,4.38,False,core_only
25,science,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,3.68,False,core_only
26,science,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,3.40,False,core_only
27,science,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,3.45,False,core_only
28,science,high,joie,0.500,0.300,2,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,3.26,False,core_only
29,daily_life,low,neutre,0.400,0.650,2,,1.64,False,core_only
30,daily_life,low,neutre,0.400,0.650,2,,24.66,False,core_only
31,daily_life,low,neutre,0.400,0.650,2,,2.79,False,core_only
32,daily_life,low,neutre,0.400,0.650,2,,3.55,False,core_only
33,daily_life,low,neutre,0.400,0.650,2,,2.86,False,core_only
34,daily_life,low,neutre,0.400,0.650,2,,4.14,False,core_only
35,emotional,medium,neutre,0.400,0.650,2,emotional_journal|contextual_empathy,2.33,False,core_only
36,emotional,medium,peur,0.500,0.300,2,emotional_journal|contextual_empathy,3.81,False,core_only
37,emotional,medium,neutre,0.400,0.650,2,emotional_journal|contextual_empathy,4.05,False,core_only
38,emotional,medium,neutre,0.400,0.650,2,emotional_journal|contextual_empathy,3.03,False,core_only
39,emotional,medium,neutre,0.400,0.650,2,emotional_journal|contextual_empathy,3.13,False,core_only
40,emotional,medium,joie,0.500,0.300,2,emotional_journal|contextual_empathy,18.33,False,core_only
41,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,0.79,False,core_only
42,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,1.50,False,core_only
43,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,0.95,False,core_only
44,philosophy,high,amour,0.500,0.300,2,meta_cognition|proactive_curiosity,1.09,False,core_only
45,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,1.40,False,core_only
46,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,3.47,False,core_only
47,creativity,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,3.88,False,core_only
48,creativity,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,4.09,False,core_only
49,creativity,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,4.07,False,core_only
50,creativity,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,27.08,False,core_only
