idx,category,complexity,emotion,confidence,intensity,memories,systems,total_ms,from_cache,mode
1,warm_up,low,neutre,0.400,0.650,0,,0.29,False,core_only
2,warm_up,low,curiosité,0.500,0.300,0,,0.32,False,core_only
3,warm_up,low,neutre,0.400,0.650,0,,0.47,False,core_only
4,science,medium,neutre,0.400,0.650,0,proactive_curiosity|meta_cognition,0.66,False,core_only
5,science,medium,curiosité,0.500,0.300,0,proactive_curiosity|meta_cognition,0.82,False,core_only
6,science,high,curiosité,0.500,0.300,0,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,0.72,False,core_only
7,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,1.93,False,core_only
8,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,0.54,False,core_only
9,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,0.50,False,core_only
10,emotional,medium,tristesse,0.500,0.300,0,emotional_journal|contextual_empathy,1.76,False,core_only
11,emotional,low,joie,0.700,0.850,0,emotional_journal|contextual_empathy,0.43,False,core_only
12,emotional,medium,peur,0.500,0.300,0,emotional_journal|contextual_empathy,0.44,False,core_only
13,emotional,medium,amour,0.500,1.000,0,emotional_journal|contextual_empathy,0.97,False,core_only
14,daily_life,low,neutre,0.400,0.650,0,,1.32,False,core_only
15,daily_life,medium,curiosité,0.500,0.300,0,,1.86,False,core_only
16,creativity,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,1.66,False,core_only
17,creativity,medium,neutre,0.400,0.650,0,imagination_engine|creative_memory,1.53,False,core_only
18,memory,medium,neutre,0.400,0.650,0,narrative_memory|emotional_memory_mgr,1.72,False,core_only
19,memory,medium,neutre,0.400,0.650,0,narrative_memory|emotional_memory_mgr,1.77,False,core_only
20,meta,high,curiosité,0.500,0.300,0,meta_cognition|proactive_curiosity,6.94,False,core_only
21,meta,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,1.48,False,core_only
22,complex,extreme,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,0.58,False,core_only
23,science,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,0.55,False,core_only
24,science,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,0.56,False,core_only
25,science,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,0.68,False,core_only
26,science,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,1.85,False,core_only
27,science,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,2.51,False,core_only
28,science,high,joie,0.500,0.300,0,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,1.77,False,core_only
29,daily_life,low,neutre,0.400,0.650,0,,1.98,False,core_only
30,daily_life,low,neutre,0.400,0.650,0,,7.78,False,core_only
31,daily_life,low,neutre,0.400,0.650,0,,0.67,False,core_only
32,daily_life,low,neutre,0.400,0.650,0,,0.68,False,core_only
33,daily_life,low,neutre,0.400,0.650,0,,1.21,False,core_only
34,daily_life,low,neutre,0.400,0.650,0,,1.24,False,core_only
35,emotional,medium,neutre,0.400,0.650,0,emotional_journal|contextual_empathy,1.97,False,core_only
36,emotional,medium,peur,0.500,0.300,0,emotional_journal|contextual_empathy,0.96,False,core_only
37,emotional,medium,neutre,0.400,0.650,0,emotional_journal|contextual_empathy,0.75,False,core_only
38,emotional,medium,neutre,0.400,0.650,0,emotional_journal|contextual_empathy,1.73,False,core_only
39,emotional,medium,neutre,0.400,0.650,0,emotional_journal|contextual_empathy,2.10,False,core_only
40,emotional,medium,joie,0.500,0.300,0,emotional_journal|contextual_empathy,8.61,False,core_only
41,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,2.01,False,core_only
42,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,1.80,False,core_only
43,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,0.79,False,core_only
44,philosophy,high,amour,0.500,0.300,0,meta_cognition|proactive_curiosity,1.67,False,core_only
45,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,1.88,False,core_only
46,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,1.39,False,core_only
47,creativity,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,1.66,False,core_only
48,creativity,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,1.57,False,core_only
49,creativity,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,2.24,False,core_only
50,creativity,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,4.50,False,core_only
