idx,category,complexity,emotion,confidence,intensity,memories,systems,total_ms,from_cache,mode
1,warm_up,low,neutre,0.400,0.650,0,,0.50,False,core_only
2,warm_up,low,curiosité,0.500,0.300,0,,0.74,False,core_only
3,warm_up,low,neutre,0.400,0.650,0,,0.87,False,core_only
4,science,medium,neutre,0.400,0.650,0,proactive_curiosity|meta_cognition,0.96,False,core_only
5,science,medium,curiosité,0.500,0.300,0,proactive_curiosity|meta_cognition,1.21,False,core_only
6,science,high,curiosité,0.500,0.300,0,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,3.21,False,core_only
7,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,1.12,False,core_only
8,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,1.07,False,core_only
9,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,1.54,False,core_only
10,emotional,medium,tristesse,0.500,0.300,0,emotional_journal|contextual_empathy,14.58,False,core_only
11,emotional,low,joie,0.700,0.850,0,emotional_journal|contextual_empathy,1.77,False,core_only
12,emotional,medium,peur,0.500,0.300,0,emotional_journal|contextual_empathy,3.10,False,core_only
13,emotional,medium,amour,0.500,1.000,0,emotional_journal|contextual_empathy,1.91,False,core_only
14,daily_life,low,neutre,0.400,0.650,0,,2.08,False,core_only
15,daily_life,medium,curiosité,0.500,0.300,0,,3.73,False,core_only
16,creativity,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,3.05,False,core_only
17,creativity,medium,neutre,0.400,0.650,0,imagination_engine|creative_memory,3.79,False,core_only
18,memory,medium,neutre,0.400,0.650,0,narrative_memory|emotional_memory_mgr,1.55,False,core_only
19,memory,medium,neutre,0.400,0.650,0,narrative_memory|emotional_memory_mgr,2.10,False,core_only
20,meta,high,curiosité,0.500,0.300,0,meta_cognition|proactive_curiosity,20.84,False,core_only
21,meta,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,1.78,False,core_only
22,complex,extreme,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,1.65,False,core_only
23,science,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,1.33,False,core_only
24,science,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,3.20,False,core_only
25,science,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,3.00,False,core_only
26,science,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,4.18,False,core_only
27,science,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,1.02,False,core_only
28,science,high,joie,0.500,0.300,0,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,1.30,False,core_only
29,daily_life,low,neutre,0.400,0.650,0,,1.90,False,core_only
30,daily_life,low,neutre,0.400,0.650,0,,19.18,False,core_only
31,daily_life,low,neutre,0.400,0.650,0,,1.41,False,core_only
32,daily_life,low,neutre,0.400,0.650,0,,0.84,False,core_only
33,daily_life,low,neutre,0.400,0.650,0,,0.92,False,core_only
34,daily_life,low,neutre,0.400,0.650,0,,0.84,False,core_only
35,emotional,medium,neutre,0.400,0.650,0,emotional_journal|contextual_empathy,0.79,False,core_only
36,emotional,medium,peur,0.500,0.300,0,emotional_journal|contextual_empathy,0.89,False,core_only
37,emotional,medium,neutre,0.400,0.650,0,emotional_journal|contextual_empathy,0.77,False,core_only
38,emotional,medium,neutre,0.400,0.650,0,emotional_journal|contextual_empathy,0.99,False,core_only
39,emotional,medium,neutre,0.400,0.650,0,emotional_journal|contextual_empathy,0.73,False,core_only
40,emotional,medium,joie,0.500,0.300,0,emotional_journal|contextual_empathy,5.91,False,core_only
41,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,0.73,False,core_only
42,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,0.74,False,core_only
43,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,0.81,False,core_only
44,philosophy,high,amour,0.500,0.300,0,meta_cognition|proactive_curiosity,0.70,False,core_only
45,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,0.89,False,core_only
46,philosophy,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity,0.84,False,core_only
47,creativity,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,0.94,False,core_only
48,creativity,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,0.99,False,core_only
49,creativity,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,0.92,False,core_only
50,creativity,high,neutre,0.400,0.650,0,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,6.03,False,core_only
