idx,category,complexity,emotion,confidence,intensity,memories,systems,total_ms,from_cache,mode
1,warm_up,low,neutre,0.400,0.650,0,,231.99,False,core_only
2,warm_up,low,curiosité,0.500,0.300,1,,47.10,False,core_only
3,warm_up,low,neutre,0.400,0.650,2,,138.11,False,core_only
4,science,medium,neutre,0.400,0.650,3,proactive_curiosity|meta_cognition,168.73,False,core_only
5,science,medium,curiosité,0.500,0.300,4,proactive_curiosity|meta_cognition,49.09,False,core_only
6,science,high,curiosité,0.500,0.300,5,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,44.18,False,core_only
7,philosophy,high,neutre,0.400,0.650,6,meta_cognition|proactive_curiosity,63.21,False,core_only
8,philosophy,high,neutre,0.400,0.650,7,meta_cognition|proactive_curiosity,49.57,False,core_only
9,philosophy,high,neutre,0.400,0.650,8,meta_cognition|proactive_curiosity,49.83,False,core_only
10,emotional,medium,tristesse,0.500,0.300,9,emotional_journal|contextual_empathy,59.19,False,core_only
11,emotional,low,joie,0.700,0.850,10,emotional_journal|contextual_empathy,125.67,False,core_only
12,emotional,medium,peur,0.500,0.300,11,emotional_journal|contextual_empathy,14.37,False,core_only
13,emotional,medium,amour,0.500,1.000,12,emotional_journal|contextual_empathy,98.91,False,core_only
14,daily_life,low,neutre,0.400,0.650,13,,48.46,False,core_only
15,daily_life,medium,curiosité,0.500,0.300,14,,13.59,False,core_only
16,creativity,high,neutre,0.400,0.650,15,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,16.08,False,core_only
17,creativity,medium,neutre,0.400,0.650,16,imagination_engine|creative_memory,85.82,False,core_only
18,memory,medium,neutre,0.400,0.650,17,narrative_memory|emotional_memory_mgr,53.70,False,core_only
19,memory,medium,neutre,0.400,0.650,18,narrative_memory|emotional_memory_mgr,53.67,False,core_only
20,meta,high,curiosité,0.500,0.300,19,meta_cognition|proactive_curiosity,62.55,False,core_only
21,meta,high,neutre,0.400,0.650,20,meta_cognition|proactive_curiosity,15.38,False,core_only
22,complex,extreme,neutre,0.400,0.650,21,meta_cognition|proactive_curiosity,17.74,False,core_only
23,science,high,neutre,0.400,0.650,22,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,60.94,False,core_only
24,science,high,neutre,0.400,0.650,23,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,54.45,False,core_only
25,science,high,neutre,0.400,0.650,24,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,57.18,False,core_only
26,science,high,neutre,0.400,0.650,25,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,51.25,False,core_only
27,science,high,neutre,0.400,0.650,26,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,53.92,False,core_only
28,science,high,joie,0.500,0.300,27,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,18.38,False,core_only
29,daily_life,low,neutre,0.400,0.650,28,,18.29,False,core_only
30,daily_life,low,neutre,0.400,0.650,29,,36.35,False,core_only
31,daily_life,low,neutre,0.400,0.650,30,,20.88,False,core_only
32,daily_life,low,neutre,0.400,0.650,31,,22.51,False,core_only
33,daily_life,low,neutre,0.400,0.650,32,,22.82,False,core_only
34,daily_life,low,neutre,0.400,0.650,33,,25.95,False,core_only
35,emotional,medium,neutre,0.400,0.650,34,emotional_journal|contextual_empathy,66.39,False,core_only
36,emotional,medium,peur,0.500,0.300,35,emotional_journal|contextual_empathy,20.74,False,core_only
37,emotional,medium,neutre,0.400,0.650,36,emotional_journal|contextual_empathy,22.78,False,core_only
38,emotional,medium,neutre,0.400,0.650,37,emotional_journal|contextual_empathy,27.49,False,core_only
39,emotional,medium,neutre,0.400,0.650,38,emotional_journal|contextual_empathy,25.32,False,core_only
40,emotional,medium,joie,0.500,0.300,39,emotional_journal|contextual_empathy,86.29,False,core_only
41,philosophy,high,neutre,0.400,0.650,40,meta_cognition|proactive_curiosity,20.21,False,core_only
42,philosophy,high,neutre,0.400,0.650,41,meta_cognition|proactive_curiosity,21.44,False,core_only
43,philosophy,high,neutre,0.400,0.650,42,meta_cognition|proactive_curiosity,23.68,False,core_only
44,philosophy,high,amour,0.500,0.300,43,meta_cognition|proactive_curiosity,26.28,False,core_only
45,philosophy,high,neutre,0.400,0.650,44,meta_cognition|proactive_curiosity,25.95,False,core_only
46,philosophy,high,neutre,0.400,0.650,45,meta_cognition|proactive_curiosity,25.91,False,core_only
47,creativity,high,neutre,0.400,0.650,46,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,26.76,False,core_only
48,creativity,high,neutre,0.400,0.650,47,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,71.79,False,core_only
49,creativity,high,neutre,0.400,0.650,48,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,56.94,False,core_only
50,creativity,high,neutre,0.400,0.650,49,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,34.59,False,core_only
